iter	Passed	Remaining
0	3	101
1	6	96
2	10	91
3	13	88
4	16	83
5	20	80
6	23	76
7	26	73
8	30	70
9	33	67
10	37	64
11	40	61
12	43	57
13	46	53
14	50	50
15	54	47
16	57	43
17	60	40
18	63	37
19	67	33
20	70	30
21	73	26
22	76	23
23	80	20
24	83	16
25	86	13
26	89	9
27	93	6
28	96	3
29	99	0
